C_api,C_man,E_NEds,E_Bpag,firstDay,lastDay,NEds,NDays,NActDays,NPages,NPcreated,pagesWomen,wikiprojWomen,ns_user,ns_wikipedia,ns_talk,ns_userTalk,ns_content,weightIJ,NIJ,gender
unknown,3,0,0,2.01704E+13,2.0171E+13,74,172,9,52,0,0,0,1,0,0,1,72,1.865008032,1277,0
unknown,3,2,3,2.00701E+13,2.01406E+13,232,2718,28,42,9,0,0,41,16,7,5,156,0.831953525,917,0
male,3,2,1,2.00801E+13,2.01312E+13,306,2157,66,222,0,0,0,13,7,6,112,164,0.982449109,752,1
unknown,1,0,2,2.00704E+13,2.01701E+13,92,3574,15,16,1,0,0,63,0,2,0,27,0.800528377,664,1
unknown,3,2,1,2.00401E+13,2.01707E+13,402,4916,147,126,30,0,0,15,3,35,12,328,0.982449109,752,0
male,1,1,0,2.01302E+13,2.01612E+13,121,1401,33,79,0,0,0,6,8,0,26,74,1.29126263,974,1
unknown,1,1,2,2.00808E+13,2.01707E+13,159,3249,46,38,14,0,0,12,0,7,0,136,1.027717097,841,1
unknown,3,1,2,2.00704E+13,2.0161E+13,188,3484,87,106,17,0,0,4,0,0,0,179,1.027717097,841,0
male,1,0,2,2.01308E+13,2.01612E+13,69,1247,19,16,0,0,0,2,8,0,9,50,0.800528377,664,1
male,3,3,1,2.01107E+13,2.01709E+13,4514,2251,545,1175,121,0,0,4,2,301,10,4103,0.66167318,477,1
male,1,2,2,2.00611E+13,2.01708E+13,742,3932,202,221,30,0,0,15,4,13,43,657,0.915024129,978,1
unknown,3,3,3,2.00804E+13,2.01707E+13,3018,3397,286,644,86,0,0,56,15,91,93,2432,1.481654138,1596,0
male,3,2,2,2.01105E+13,2.01709E+13,535,2315,133,109,5,0,0,28,0,56,15,337,0.915024129,978,1
unknown,1,3,3,2.0051E+13,2.01708E+13,1172,4316,325,543,49,0,0,55,44,25,46,967,1.481654138,1596,1
unknown,3,2,2,2.01102E+13,2.01705E+13,466,2285,84,110,4,0,0,40,1,5,4,394,0.915024129,978,0
unknown,3,1,0,2.00812E+13,2.01604E+13,97,2687,22,19,1,0,0,10,0,1,0,85,1.29126263,974,0
male,1,1,0,2.00803E+13,2.0151E+13,144,2749,45,30,0,0,0,2,0,7,0,134,1.29126263,974,1
male,1,3,3,2.00504E+13,2.0171E+13,6937,4559,851,4570,788,0,0,311,51,110,114,5744,1.481654138,1596,1
unknown,3,1,1,2.00809E+13,2.01306E+13,99,1719,32,44,10,0,0,11,1,5,2,77,0.997535302,994,0
male,3,2,0,2.01101E+13,2.01706E+13,398,2351,166,70,0,0,0,3,2,65,55,272,1.204403165,647,1
male,3,1,3,2.01011E+13,2.01705E+13,198,2363,64,75,5,0,0,78,18,9,8,64,0.594368208,493,1
male,3,3,0,2.00505E+13,2.01709E+13,4170,4504,515,1131,79,0,0,55,84,63,56,3794,0.865617488,412,1
unknown,3,1,0,2.01505E+13,2.01506E+13,110,22,15,21,4,0,0,33,1,4,0,72,1.29126263,974,0
unknown,3,3,0,2.01402E+13,2.01709E+13,5524,1315,310,4462,10,0,0,76,207,4,130,3440,0.865617488,412,0
male,3,0,1,2.0141E+13,2.0141E+13,53,5,2,1,0,0,0,53,0,0,0,0,1.057149316,1074,1
unknown,3,2,1,2.00601E+13,2.01405E+13,516,3048,45,82,11,1,0,12,9,113,45,319,0.982449109,752,0
male,1,2,2,2.01204E+13,2.01608E+13,441,1557,75,133,1,0,0,14,13,3,4,402,0.915024129,978,1
unknown,3,0,0,2.01401E+13,2.01401E+13,50,1,1,7,0,0,0,1,33,0,0,0,1.865008032,1277,0
male,1,2,3,2.0091E+13,2.01606E+13,824,2427,100,72,10,0,0,138,16,14,42,608,0.831953525,917,1
male,1,1,1,2.00605E+13,2.01704E+13,167,3977,57,81,2,0,0,17,4,5,4,129,0.997535302,994,1
male,1,0,3,2.01006E+13,2.01505E+13,87,1810,23,21,1,0,0,47,1,0,3,30,0.411985187,297,1
unknown,1,2,2,2.00301E+13,2.01708E+13,232,5349,109,137,20,0,0,22,4,11,26,163,0.915024129,978,1
male,1,3,1,2.0151E+13,2.0171E+13,1596,724,138,203,42,0,0,77,3,7,16,1227,0.66167318,477,1
unknown,3,1,2,2.00608E+13,2.01701E+13,102,3821,28,10,4,0,0,19,7,0,1,75,1.027717097,841,0
unknown,1,2,2,2.00802E+13,2.0121E+13,630,1701,115,169,24,0,0,6,0,50,16,510,0.915024129,978,1
unknown,3,2,0,2.01408E+13,2.01502E+13,308,186,26,42,18,0,0,1,4,1,1,284,1.204403165,647,0
male,3,3,3,2.00808E+13,2.01509E+13,6093,2580,707,1444,132,0,0,562,476,128,1367,2977,1.481654138,1596,1
unknown,3,0,3,2.01504E+13,2.01604E+13,86,388,15,21,7,0,0,10,0,0,0,43,0.411985187,297,0
unknown,1,2,2,2.0041E+13,2.01206E+13,456,2795,70,10,0,0,0,78,0,0,12,366,0.915024129,978,1
unknown,1,1,3,2.00905E+13,2.01507E+13,126,2264,45,21,1,0,0,36,0,0,0,37,0.594368208,493,1
male,1,0,2,2.01305E+13,2.01312E+13,50,211,9,15,1,0,0,14,2,3,1,29,0.800528377,664,1
male,1,2,1,2.01411E+13,2.0171E+13,785,1045,276,30,1,0,0,2,8,3,8,763,0.982449109,752,1
unknown,1,3,1,2.00605E+13,2.0161E+13,6096,3812,429,3682,79,0,0,141,241,64,171,5097,0.66167318,477,1
male,1,1,3,2.01511E+13,2.01706E+13,117,583,10,16,6,0,4,63,3,2,2,43,0.594368208,493,1
female,2,1,3,2.00603E+13,2.01709E+13,128,4209,38,58,4,0,0,41,6,3,12,64,0.594368208,493,2
male,1,0,1,2.00709E+13,2.01601E+13,58,3049,18,20,0,0,0,4,0,3,0,50,1.057149316,1074,1
unknown,1,1,1,2.01303E+13,2.01505E+13,170,779,18,113,0,0,0,4,2,6,5,140,0.997535302,994,1
male,3,1,1,2.01306E+13,2.01512E+13,162,934,22,56,3,0,0,9,9,2,20,121,0.997535302,994,1
female,3,0,1,2.01312E+13,2.0171E+13,77,1396,16,15,1,0,2,4,0,0,8,63,1.057149316,1074,2
unknown,3,3,0,2.01003E+13,2.01705E+13,1415,2611,362,704,83,0,0,7,23,36,44,1176,0.865617488,412,0
male,3,3,3,2.00604E+13,2.01709E+13,900,4161,298,249,14,0,0,57,83,85,173,493,1.481654138,1596,1
female,2,1,3,2.01107E+13,2.01703E+13,144,2042,47,65,6,0,0,33,0,0,7,104,0.594368208,493,2
unknown,3,3,0,2.00808E+13,2.01709E+13,3554,3336,416,1387,88,1,0,133,25,392,151,2724,0.865617488,412,0
unknown,1,1,2,2.01003E+13,2.01304E+13,145,1121,19,79,1,0,0,3,0,7,16,118,1.027717097,841,1
unknown,1,0,0,2.00702E+13,2.01204E+13,75,1902,20,19,2,0,0,2,0,0,1,72,1.865008032,1277,1
unknown,3,2,0,2.00511E+13,2.01305E+13,316,2752,206,193,0,0,0,2,0,3,6,271,1.204403165,647,0
unknown,1,0,3,2.00909E+13,2.01204E+13,93,951,25,15,2,0,0,69,0,1,2,11,0.411985187,297,1
male,1,2,3,2.0161E+13,2.01708E+13,570,286,89,135,16,0,0,78,4,2,15,462,0.831953525,917,1
unknown,3,1,2,2.00811E+13,2.01611E+13,201,2907,50,59,5,0,0,55,4,11,11,81,1.027717097,841,0
unknown,2,0,1,2.0161E+13,2.01705E+13,70,213,14,10,0,0,0,51,1,0,3,13,1.057149316,1074,2
unknown,3,0,0,2.00605E+13,2.01705E+13,50,4022,7,13,0,0,0,1,11,7,2,29,1.865008032,1277,0
unknown,3,0,2,2.00606E+13,2.01611E+13,89,3824,20,13,0,0,0,25,1,5,0,58,0.800528377,664,0
unknown,3,1,3,2.00609E+13,2.01408E+13,95,2905,26,38,1,0,0,16,0,2,0,76,0.594368208,493,0
male,3,1,0,2.01006E+13,2.01707E+13,107,2600,82,96,0,0,0,4,3,0,1,58,1.29126263,974,1
unknown,1,0,2,2.00811E+13,2.0161E+13,61,2905,11,12,3,0,0,5,0,0,0,56,0.800528377,664,1
unknown,1,1,0,2.01408E+13,2.01411E+13,193,93,23,18,2,0,0,117,0,2,0,74,1.29126263,974,1
unknown,3,1,1,2.00806E+13,2.01701E+13,137,3153,61,53,8,0,0,29,1,24,3,76,0.997535302,994,0
unknown,2,2,2,2.01408E+13,2.01411E+13,269,85,37,25,8,0,0,184,0,6,1,78,0.915024129,978,2
male,1,2,0,2.00604E+13,2.01301E+13,470,2454,162,143,5,0,0,8,0,6,1,449,1.204403165,647,1
male,1,1,2,2.01104E+13,2.01708E+13,121,2330,37,57,1,0,0,30,6,8,2,57,1.027717097,841,1
unknown,2,1,1,2.0161E+13,2.01705E+13,109,208,19,9,0,0,0,91,0,1,13,4,0.997535302,994,2
unknown,2,0,0,2.00505E+13,2.01205E+13,88,2562,15,11,2,0,0,2,0,1,2,83,1.865008032,1277,2
unknown,1,0,3,2.01702E+13,2.01702E+13,61,3,3,3,1,0,0,60,0,0,0,1,0.411985187,297,1
male,1,3,3,2.00802E+13,2.01707E+13,2853,3428,413,1031,37,1,0,128,82,159,218,1354,1.481654138,1596,1
unknown,1,3,1,2.0051E+13,2.01709E+13,2218,4340,546,932,27,0,0,10,112,128,89,1825,0.66167318,477,1
unknown,1,3,3,2.00802E+13,2.01603E+13,1645,2971,299,294,175,0,0,319,6,1,5,1284,1.481654138,1596,1
male,3,3,3,2.00505E+13,2.01706E+13,5793,4433,687,1322,264,0,0,136,185,250,558,4292,1.481654138,1596,1
unknown,1,2,3,2.00812E+13,2.01204E+13,257,1226,24,82,6,0,0,6,0,4,0,246,0.831953525,917,1
unknown,1,3,2,2.01403E+13,2.0171E+13,4707,1311,465,1938,174,0,0,7,1,9,8,4551,1.005226945,817,1
unknown,1,0,1,2.00707E+13,2.01412E+13,51,2697,17,18,5,0,0,6,0,0,0,45,1.057149316,1074,1
male,1,2,2,2.01508E+13,2.01709E+13,842,758,167,412,47,0,0,52,1,52,50,607,0.915024129,978,1
male,3,3,2,2.00401E+13,2.01701E+13,5320,4748,555,2107,143,0,0,664,370,92,381,3525,1.005226945,817,1
unknown,3,0,3,2.00605E+13,2.0121E+13,83,2339,25,47,4,0,0,8,1,8,5,56,0.411985187,297,0
unknown,3,1,1,2.01104E+13,2.01709E+13,109,2340,19,20,4,0,0,3,0,14,32,60,0.997535302,994,0
male,1,1,1,2.01402E+13,2.01703E+13,132,1144,20,29,0,0,0,28,0,31,2,68,0.997535302,994,1
male,3,3,3,2.01009E+13,2.0151E+13,12305,1861,895,3540,31,0,0,287,3906,854,755,6250,1.481654138,1596,1
unknown,3,3,2,2.00801E+13,2.01709E+13,2367,3534,302,811,25,0,0,30,0,2,3,2153,1.005226945,817,0
unknown,3,2,2,2.0071E+13,2.01312E+13,488,2262,58,77,14,0,0,28,11,11,39,389,0.915024129,978,0
unknown,1,2,3,2.00707E+13,2.01411E+13,692,2681,151,216,29,0,0,232,24,5,104,266,0.831953525,917,1
unknown,3,0,1,2.01409E+13,2.01511E+13,56,445,12,8,0,0,0,1,0,10,10,35,1.057149316,1074,0
female,2,3,3,2.0091E+13,2.01707E+13,27952,2847,1512,8379,44,86,0,349,3247,1494,3047,19377,1.481654138,1596,2
male,3,3,1,2.01603E+13,2.01709E+13,1131,525,137,485,0,0,0,139,119,21,288,492,0.66167318,477,1
unknown,3,0,1,2.01405E+13,2.01406E+13,51,44,3,24,0,0,0,4,0,0,0,47,1.057149316,1074,0
unknown,1,2,3,2.0071E+13,2.01504E+13,553,2736,72,71,4,0,0,152,2,22,71,296,0.831953525,917,1
unknown,1,0,1,2.00801E+13,2.01612E+13,76,3265,27,16,4,0,0,4,0,0,4,68,1.057149316,1074,1
unknown,1,2,2,2.00711E+13,2.0141E+13,725,2545,206,309,14,0,0,18,3,13,14,587,0.915024129,978,1
male,1,3,3,2.0121E+13,2.0171E+13,1739,1817,359,313,5,0,0,52,68,119,36,1411,1.481654138,1596,1
male,1,1,2,2.01007E+13,2.01306E+13,109,1073,42,12,0,0,0,19,1,3,84,2,1.027717097,841,1
male,1,0,3,2.01003E+13,2.01611E+13,64,2464,19,16,0,0,0,36,4,0,15,9,0.411985187,297,1
male,1,0,1,2.00905E+13,2.01204E+13,54,1079,10,25,2,0,0,6,1,2,5,35,1.057149316,1074,1
male,1,0,1,2.01211E+13,2.01708E+13,70,1741,14,16,0,0,0,3,0,0,0,55,1.057149316,1074,1
unknown,3,0,1,2.00704E+13,2.01609E+13,64,3446,34,31,1,0,0,2,0,1,0,61,1.057149316,1074,0
unknown,3,1,2,2.01611E+13,2.01703E+13,145,135,18,38,3,0,0,5,0,0,2,137,1.027717097,841,0
unknown,2,2,2,2.01405E+13,2.01407E+13,264,61,23,28,2,0,0,124,0,7,5,128,0.915024129,978,2
male,1,3,2,2.00905E+13,2.01709E+13,1277,3044,326,189,17,0,0,38,19,67,194,814,1.005226945,817,1
unknown,1,1,0,2.00412E+13,2.01604E+13,216,4148,54,155,2,0,0,5,5,46,29,123,1.29126263,974,1
male,1,2,0,2.00912E+13,2.01607E+13,255,2400,69,42,2,0,0,1,0,10,1,133,1.204403165,647,1
male,3,1,0,2.01505E+13,2.01707E+13,144,787,31,54,0,0,0,18,1,2,1,119,1.29126263,974,1
unknown,1,1,3,2.01308E+13,2.01502E+13,96,550,27,9,2,0,0,35,0,0,2,56,0.594368208,493,1
unknown,1,2,2,2.00903E+13,2.01503E+13,325,2198,31,29,6,0,0,34,3,7,3,270,0.915024129,978,1
male,1,3,2,2.00807E+13,2.01708E+13,12940,3320,1154,1231,15,0,0,880,231,418,1139,7559,1.005226945,817,1
male,3,3,1,2.00507E+13,2.01302E+13,3298,2769,655,1030,79,0,0,789,514,166,138,1306,0.66167318,477,1
unknown,1,1,2,2.01612E+13,2.01612E+13,201,28,18,41,1,0,0,56,3,0,16,42,1.027717097,841,1
unknown,3,1,0,2.01406E+13,2.01411E+13,200,154,45,91,3,0,0,44,26,3,23,94,1.29126263,974,0
unknown,3,1,3,2.00703E+13,2.01707E+13,134,3770,55,66,1,0,0,37,1,4,1,82,0.594368208,493,0
unknown,1,0,0,2.00907E+13,2.01611E+13,52,2690,27,32,0,0,0,1,0,0,0,43,1.865008032,1277,1
unknown,3,0,1,2.00503E+13,2.01305E+13,55,2992,14,9,2,0,0,3,0,0,0,52,1.057149316,1074,0
unknown,3,0,2,2.01105E+13,2.0121E+13,85,535,35,33,2,0,0,9,0,1,19,52,0.800528377,664,0
male,1,3,2,2.01107E+13,2.01708E+13,3347,2244,432,1573,36,0,0,214,123,201,105,1925,1.005226945,817,1
unknown,1,2,2,2.0061E+13,2.01205E+13,451,2053,48,53,9,0,0,47,0,24,44,277,0.915024129,978,1
unknown,3,0,0,2.01409E+13,2.01409E+13,53,15,5,4,1,0,0,52,0,0,0,1,1.865008032,1277,0
male,1,0,2,2.01004E+13,2.01611E+13,91,2408,36,43,0,0,0,24,4,2,0,57,0.800528377,664,1
male,1,3,3,2.01105E+13,2.01611E+13,1686,2002,242,275,9,0,0,508,18,68,33,439,1.481654138,1596,1
male,1,1,1,2.00601E+13,2.01411E+13,127,3225,20,47,3,0,0,11,9,8,0,93,0.997535302,994,1
unknown,1,1,0,2.00903E+13,2.0151E+13,161,2434,75,94,2,0,0,1,3,42,26,89,1.29126263,974,1
female,3,1,1,2.01308E+13,2.01503E+13,147,592,16,70,2,0,0,6,8,27,6,96,0.997535302,994,2
unknown,1,1,3,2.01212E+13,2.01212E+13,95,6,4,18,1,0,0,4,0,0,0,90,0.594368208,493,1
male,1,3,2,2.00508E+13,2.0171E+13,8838,4428,2478,311,1,0,0,45,84,194,237,8122,1.005226945,817,1
unknown,3,3,2,2.0071E+13,2.01312E+13,1140,2272,157,320,16,0,0,141,26,47,48,683,1.005226945,817,0
male,1,3,2,2.01208E+13,2.01709E+13,1678,1864,477,240,5,0,0,16,18,38,93,1163,1.005226945,817,1
male,3,2,2,2.00606E+13,2.01707E+13,656,4029,176,225,12,0,0,88,30,13,8,412,0.915024129,978,1
unknown,1,0,2,2.01407E+13,2.01505E+13,74,298,29,19,0,0,0,5,0,1,6,56,0.800528377,664,1
unknown,1,1,0,2.01304E+13,2.01708E+13,101,1589,71,81,0,0,0,2,0,1,0,92,1.29126263,974,1
male,1,0,1,2.0121E+13,2.0121E+13,72,3,3,58,1,0,0,2,0,1,5,60,1.057149316,1074,1
unknown,1,0,3,2.01109E+13,2.01705E+13,57,2087,20,22,0,0,0,4,0,1,0,52,0.411985187,297,1
unknown,3,2,0,2.00609E+13,2.01707E+13,231,3935,100,121,7,0,0,2,11,14,4,198,1.204403165,647,0
unknown,1,2,2,2.00504E+13,2.01504E+13,411,3640,107,82,4,0,0,24,7,25,43,305,0.915024129,978,1
male,1,1,3,2.00812E+13,2.01709E+13,175,3183,89,107,0,0,0,26,2,16,2,125,0.594368208,493,1
