Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2013-05-07,Albury,3.9,NA,0,NA,NA,NA,NA,NA,NA,0,NA,72,NA,1028.6,NA,NA,NA,9.8,NA,No,NA
2013-05-08,Albury,7.7,21.9,NA,NA,NA,NA,NA,NA,ESE,0,7,77,48,1030.7,1027,1,NA,11.7,21.6,NA,NA
2013-05-09,Albury,4.7,22.3,NA,NA,NA,NA,NA,SE,SE,2,9,81,54,1031.7,1027.9,NA,NA,12.5,21.7,NA,NA
2013-10-10,Albury,11.1,26,0,NA,NA,ENE,28,ENE,S,7,11,68,50,1007.7,1003.4,NA,NA,17.4,25.9,No,NA
2014-06-04,Albury,11,14.6,1.4,NA,NA,NA,NA,NE,WNW,6,11,100,80,1026.2,1025.6,8,NA,11.8,14.3,Yes,NA
2014-09-21,Albury,3.4,NA,0,NA,NA,NA,NA,ESE,SSE,9,11,67,43,1030.6,1027.5,NA,NA,12.2,18.6,No,NA
2014-09-22,Albury,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-09-23,Albury,NA,24.1,NA,NA,NA,NA,NA,NA,SE,NA,11,NA,32,NA,1024,NA,NA,NA,22.3,NA,NA
2014-10-02,Albury,3.8,18.4,0,NA,NA,W,39,E,W,6,28,65,54,1024.2,1020.7,NA,NA,11.2,17.5,No,NA
2017-02-19,Albury,7.6,22.4,0,NA,NA,W,67,ENE,WNW,6,20,54,31,1010.9,1008.5,NA,2,14.5,20.9,No,NA
2017-03-12,Albury,18.6,36,0,NA,NA,WSW,69,ENE,NW,7,30,35,12,1004.9,1001.2,6,1,23.7,34.4,No,NA
2017-03-20,Albury,20,33.1,0,NA,NA,WNW,37,ESE,NE,4,13,59,46,1016.8,1013,NA,4,24.6,30.8,No,NA
2017-03-21,Albury,20.1,25.2,NA,NA,NA,NNE,33,SE,SE,11,6,100,92,1013.9,1011.5,8,8,20.5,22.1,NA,NA
2017-03-22,Albury,19.6,26.6,NA,NA,NA,SE,31,SE,ENE,7,11,99,74,1013.1,1012,6,1,21.6,23.6,NA,NA
2009-06-11,BadgerysCreek,0,15.3,0,NA,NA,NA,NA,W,SW,11,19,53,35,1021.4,1018.6,NA,NA,8.2,14.9,No,NA
2009-06-21,BadgerysCreek,10,16.6,1.4,NA,NA,NNE,15,NA,NNE,0,11,100,92,1024.1,1021,NA,NA,12.3,15.5,Yes,NA
2009-10-04,BadgerysCreek,10.5,17.1,7,NA,NA,E,24,S,ESE,11,6,93,81,1022.3,1020.1,NA,NA,12.2,14.6,Yes,NA
2009-10-26,BadgerysCreek,12.3,16.7,14.6,NA,NA,SSE,50,S,SSE,13,20,97,64,1024.5,1026.2,NA,NA,12.9,15.5,Yes,NA
2009-10-27,BadgerysCreek,NA,17.3,NA,NA,NA,NNE,19,NA,N,NA,4,NA,65,1030.1,1027.9,NA,NA,NA,16.7,NA,NA
2009-12-11,BadgerysCreek,17,29.9,0,NA,NA,NA,NA,WSW,SSW,26,22,26,11,1012.9,1012.6,NA,NA,22.6,28.5,No,NA
2010-01-07,BadgerysCreek,19.4,24.1,0,NA,NA,NA,NA,S,ESE,7,17,70,57,1018.6,1017.2,NA,NA,20.7,23.2,No,NA
2010-01-08,BadgerysCreek,17.9,29.8,NA,NA,NA,NA,NA,NA,ENE,NA,17,84,51,1022.1,1018.7,NA,NA,20.3,27.7,NA,NA
2010-01-24,BadgerysCreek,17,25.3,1.4,NA,NA,E,31,SSW,N,9,11,94,61,1017.1,1014.1,NA,NA,17.4,25,Yes,NA
2010-01-29,BadgerysCreek,16.6,30.9,5.6,NA,NA,NA,NA,SW,E,2,19,99,54,1008.9,1009.6,NA,NA,20.3,29.6,Yes,NA
2010-02-03,BadgerysCreek,20,28,19.8,NA,NA,NA,NA,ESE,ENE,15,28,90,60,1015.1,1013.8,NA,NA,23.1,27.6,Yes,NA
2010-02-11,BadgerysCreek,19.3,33.1,0,NA,NA,NA,NA,NA,NNE,0,11,82,42,1017.4,1012.6,NA,NA,23.9,32.8,No,NA
2010-02-12,BadgerysCreek,19.6,36.6,NA,NA,NA,NA,NA,NA,NW,NA,13,80,35,1009,1006,NA,NA,24.5,34.9,NA,NA
2010-02-17,BadgerysCreek,15.2,27.1,0,NA,NA,NA,NA,SW,ENE,13,11,68,50,1017.1,1015.5,NA,NA,19.9,26.3,No,NA
2010-02-22,BadgerysCreek,18.3,35.8,0,NA,NA,NA,NA,N,NW,7,17,76,32,1015.8,1011.7,NA,NA,24.1,34.7,No,NA
2010-02-27,BadgerysCreek,13.8,31.6,0,NA,NA,NA,NA,NA,N,0,9,86,37,1022,1017.4,NA,NA,18.9,30.5,No,NA
2010-03-08,BadgerysCreek,19.8,30.8,0,NA,NA,N,43,NNE,N,13,28,82,52,1011.8,1009.3,NA,NA,23.4,29,No,NA
2010-03-09,BadgerysCreek,14.9,28.7,NA,NA,NA,WSW,35,NNW,W,17,19,57,42,1013.9,1012.9,NA,NA,21.7,27.7,NA,NA
2010-03-19,BadgerysCreek,12.2,33,0,NA,NA,NA,NA,NA,SW,0,7,99,31,1022.8,1018.8,NA,NA,15.9,31.7,No,NA
2010-04-23,BadgerysCreek,11.3,30.4,0.2,NA,NA,NA,NA,NW,SW,7,7,69,38,1021.3,1015.9,NA,NA,20.1,27.6,No,NA
2010-04-30,BadgerysCreek,6.5,NA,0,NA,NA,NA,NA,WSW,NA,7,NA,66,NA,1025.8,NA,NA,NA,15.8,NA,No,NA
2010-05-01,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-02,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-05,BadgerysCreek,8.2,19.5,0.4,NA,NA,NA,NA,WNW,WSW,9,30,92,41,1013,1012.3,NA,NA,14.2,16.7,No,NA
2010-05-06,BadgerysCreek,3.4,20.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,NA,1019.2,NA,NA,NA,19.4,NA,NA
2010-05-08,BadgerysCreek,4,24.1,0,NA,NA,NA,NA,W,ENE,2,7,61,38,1022.6,1019.5,NA,NA,14,23.5,No,NA
2010-05-15,BadgerysCreek,5.7,22.1,0,NA,NA,NA,NA,SSW,S,19,9,52,34,1018.3,1016.2,NA,NA,14.8,20.8,No,NA
2010-05-18,BadgerysCreek,10.6,18.1,0,NA,NA,NA,NA,SW,S,13,11,77,64,1018.9,1017.9,NA,NA,14,17.8,No,NA
2010-05-25,BadgerysCreek,11.2,NA,3.6,NA,NA,NA,NA,NA,NE,0,7,100,81,1012,1007.1,NA,NA,13,16.2,Yes,NA
2010-05-28,BadgerysCreek,9.8,20.4,1,NA,NA,NA,NA,NA,NNE,0,15,99,52,1021.5,1017.5,NA,NA,11.9,19.3,No,NA
2010-06-21,BadgerysCreek,5.5,17.8,0,NA,NA,SE,26,NA,SSE,0,9,79,62,1033.3,1032.9,NA,NA,11.9,16.8,No,NA
2010-06-29,BadgerysCreek,-1.2,15,0,NA,NA,NA,NA,NA,N,0,4,82,39,1020.3,1017.1,NA,NA,5,14,No,NA
2010-07-10,BadgerysCreek,4.6,17.3,0,NA,NA,N,20,NA,N,0,9,100,66,1029,1025.6,NA,NA,9.2,15.9,No,NA
2010-08-13,BadgerysCreek,8.2,18.8,0,NA,NA,NA,NA,WSW,WSW,26,11,52,42,1012.9,1012.2,NA,NA,13.7,17.2,No,NA
2010-08-18,BadgerysCreek,0.5,19.9,0,NA,NA,NA,NA,NA,NNE,0,20,84,45,1020.9,1011.5,NA,NA,7.3,19.4,No,NA
2010-08-23,BadgerysCreek,8.1,14.2,0,NA,NA,NA,NA,N,NNE,7,9,87,68,1017.3,1011.4,NA,NA,10.3,13.3,No,NA
2010-10-15,BadgerysCreek,14.7,24.2,0.2,NA,NA,NA,NA,NNE,N,22,41,83,65,999.1,989.1,NA,NA,20,22.8,No,NA
2010-12-22,BadgerysCreek,10.6,25.6,0,NA,NA,NA,NA,S,E,9,19,67,53,1019.1,1017.8,NA,NA,20.6,25.1,No,NA
2011-08-04,BadgerysCreek,4.8,25.3,0,NA,NA,NA,NA,NA,NNE,0,9,100,37,1026.9,1023.5,NA,NA,12.4,25.1,No,NA
2011-11-01,BadgerysCreek,13.7,22.4,0,NA,NA,NA,NA,ENE,NA,6,NA,65,NA,1020.2,NA,NA,NA,16.8,NA,No,NA
2011-11-07,BadgerysCreek,18.3,31.4,0,NA,NA,NA,NA,E,SE,6,22,64,64,1013.3,1011.5,NA,NA,25.4,24.4,No,NA
2012-01-27,BadgerysCreek,19.2,23.9,8,NA,NA,SE,37,SSW,E,9,11,95,81,1017.7,1016.8,NA,NA,20.7,22.6,Yes,NA
2012-08-27,BadgerysCreek,0.6,19.1,0,NA,NA,NA,NA,W,NE,2,15,64,36,1025.3,1021.7,NA,NA,11.2,18.6,No,NA
2012-08-28,BadgerysCreek,1,20,NA,NA,NA,NA,NA,WNW,N,2,9,81,33,1024.4,1019.5,NA,NA,10.6,20,NA,NA
2013-08-06,BadgerysCreek,5.3,22.7,0,NA,NA,WNW,54,NW,WNW,19,26,49,38,1011.8,1007.5,NA,NA,16.6,20.1,No,NA
2013-08-21,BadgerysCreek,5.5,NA,0,NA,NA,WSW,50,WSW,W,24,17,51,39,1016.4,1013.7,NA,NA,11.6,15.5,No,NA
2013-09-02,BadgerysCreek,5.6,24.8,0,NA,NA,NNE,15,NA,N,0,4,84,33,1031.3,1028.8,NA,NA,13.3,23.8,No,NA
2014-03-10,BadgerysCreek,15.8,29.4,0,NA,NA,E,30,SW,NNW,6,6,91,47,1023.5,1020.7,NA,NA,20.1,27.9,No,NA
2014-05-04,BadgerysCreek,10.2,19.1,1.2,NA,NA,W,57,WSW,W,22,26,52,41,1001.9,1004.7,NA,NA,16,17.3,Yes,NA
2014-05-15,BadgerysCreek,5.8,22.5,0.2,NA,NA,NNW,13,NA,NNE,0,6,100,39,1028.8,1025.1,NA,NA,12.1,22.2,No,NA
2014-05-16,BadgerysCreek,5.2,24.2,NA,NA,NA,NNE,11,NNW,NNE,6,6,84,36,1029.6,1026.6,NA,NA,12.6,23.6,NA,NA
2014-06-08,BadgerysCreek,6.9,17.6,0,NA,NA,SW,33,WSW,S,17,13,66,54,1027.2,1025.8,NA,NA,12.5,16.3,No,NA
2014-06-11,BadgerysCreek,6.7,NA,1.2,NA,NA,NA,NA,SW,NA,9,NA,96,NA,1026.8,NA,NA,NA,11.6,NA,Yes,NA
2014-06-12,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-10-07,BadgerysCreek,16.6,27.7,0,NA,NA,WSW,61,S,E,7,13,76,24,1008.2,1007.6,NA,NA,17.8,27.5,No,NA
2014-10-30,BadgerysCreek,11.3,32.2,0,NA,NA,W,26,WSW,NNW,4,7,74,24,1015.5,1011.2,NA,NA,19.6,30.5,No,NA
2015-01-08,BadgerysCreek,16.9,33.7,0,NA,NA,NA,NA,N,NNE,4,7,67,30,1015.9,1010.2,NA,NA,23.1,33.1,No,NA
2015-09-09,BadgerysCreek,5.8,19.9,0,NA,NA,SW,28,SW,S,6,13,61,41,NA,NA,NA,NA,13.2,19.2,No,NA
2015-11-13,BadgerysCreek,14.7,28.6,2.8,NA,NA,NA,NA,NNE,NNE,6,19,80,78,1013.1,1009,NA,NA,20.9,23.1,Yes,NA
2015-11-14,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-15,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-16,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015-11-17,BadgerysCreek,NA,27.6,NA,NA,NA,NA,NA,NA,N,NA,11,NA,44,NA,1014.8,NA,NA,NA,27,NA,NA
2016-11-30,BadgerysCreek,16.4,29.4,0,NA,NA,NA,NA,N,E,7,20,70,60,1012.3,1007.3,NA,NA,21.6,26,No,NA
2016-12-01,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-02,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-03,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-04,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-05,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-06,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-07,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-08,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-09,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-10,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-11,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-12,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-13,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-14,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-15,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-12-16,BadgerysCreek,NA,NA,NA,NA,NA,NA,NA,NA,WNW,NA,2,NA,95,NA,1009.5,NA,NA,NA,18.9,NA,NA
2017-01-04,BadgerysCreek,17.6,28.1,0.6,NA,NA,NA,NA,E,E,19,17,58,46,1021.4,1019.3,NA,NA,23.1,26.5,No,NA
2009-09-03,Cobar,12,23.8,0,6.4,NA,N,41,NNE,NNW,19,22,44,38,1016.3,1013.3,7,3,17.1,22.2,No,NA
2011-08-08,Cobar,3.5,16,0,4.6,NA,W,44,W,W,9,20,78,39,1014.7,1011.7,7,5,9.1,15.4,No,NA
2011-08-09,Cobar,7.4,13,NA,NA,NA,WNW,28,WSW,W,13,15,90,51,1013,1011.1,8,7,8.2,12.5,NA,NA
2011-08-10,Cobar,6.5,16.7,NA,NA,NA,WSW,26,NNW,W,13,6,58,64,1010.5,1007.7,NA,8,11.4,12.7,NA,NA
2012-11-28,Cobar,19.5,38,2,NA,NA,NA,NA,NA,NNW,NA,13,56,25,NA,1010,2,2,26.6,36.6,Yes,NA
2012-11-29,Cobar,23.9,41.7,NA,11.2,NA,SW,50,NNE,NNW,24,17,35,16,1011.5,1008.4,1,4,29.8,40.9,NA,NA
2016-01-14,Cobar,25.6,33.3,1.2,14.4,NA,SSW,54,NNW,SSW,13,30,36,49,1012.7,1014,7,7,32.2,28.1,Yes,NA
2016-01-15,Cobar,14.8,27.7,NA,NA,NA,S,46,S,S,24,24,46,25,1021.9,1019.2,0,NA,15.7,24.8,NA,NA
2016-03-13,Cobar,24.7,37.5,0,9.4,NA,SSE,44,NE,WSW,15,11,39,25,1015.7,1013,5,7,29.8,36,No,NA
2016-11-18,Cobar,20.1,36.8,0,55.4,NA,N,39,N,N,19,20,NA,NA,1016.2,1012.7,NA,NA,27.7,35.3,No,NA
2016-11-19,Cobar,23,37.7,NA,NA,NA,NNW,41,N,NW,20,13,NA,NA,1015.1,1012.4,NA,3,30.3,36.7,NA,NA
2016-11-20,Cobar,22.1,38.2,NA,NA,NA,N,41,NE,NNE,17,13,NA,NA,1015.8,1012.7,1,NA,27.8,36.5,NA,NA
2016-11-21,Cobar,22.3,38.1,NA,NA,NA,NNW,50,N,N,28,15,NA,NA,1015,1011.6,NA,3,30,37.9,NA,NA
2016-11-22,Cobar,22.1,36.5,NA,NA,NA,NNW,35,NNE,WNW,20,13,NA,NA,1013,1010,NA,4,27.3,35,NA,NA
2016-11-23,Cobar,18,24.1,NA,NA,NA,SW,50,S,SSW,20,22,NA,NA,1013.3,1012.9,8,8,18.7,19.6,NA,NA
2016-11-27,Cobar,13.1,30.5,0,9.8,NA,SSW,28,SSE,WSW,13,15,NA,NA,1016.8,1013.8,NA,NA,21.6,28.9,No,NA
2016-11-28,Cobar,15.9,33.2,NA,NA,NA,SW,37,S,WSW,11,19,NA,NA,1014.4,1010.6,NA,NA,24.8,32.2,NA,NA
2016-11-29,Cobar,17.6,35.1,NA,NA,NA,SW,35,ENE,SW,13,17,NA,NA,1010.6,1007.7,NA,8,28.3,33.6,NA,NA
2017-01-23,Cobar,24.6,41.2,0,NA,NA,NA,NA,NNE,N,30,26,54,31,1008.3,1005.9,NA,8,31.2,39,No,NA
2017-01-24,Cobar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2017-01-25,Cobar,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,19,NA,30,NA,1011.2,NA,NA,NA,34.7,NA,NA
2009-03-31,CoffsHarbour,19,23.3,62.6,NA,0,SSE,70,SSE,S,43,19,88,97,1009.9,1008.3,8,8,22.7,19.4,Yes,NA
2012-04-25,CoffsHarbour,10.4,22.4,1.8,0.4,NA,SW,28,W,NNW,13,17,57,45,1014.9,1010.6,3,3,17.6,21.7,Yes,NA
2012-11-21,CoffsHarbour,15.4,24.8,0.4,6,10.7,SW,31,SW,ENE,20,19,60,68,1018.9,1015.1,1,7,21.6,22.6,No,NA
2013-04-15,CoffsHarbour,15.4,26.4,0,3.2,5.4,NE,31,NW,NNE,11,22,77,72,1011.8,1008.2,7,7,20.7,23.7,No,NA
2014-01-22,CoffsHarbour,24.2,28.2,1.6,7.6,NA,S,50,SSW,S,26,20,81,80,1012.9,1015.1,8,8,25.7,26.2,Yes,NA
2014-01-26,CoffsHarbour,18,25.2,0.2,NA,NA,S,39,SW,SSE,20,24,69,49,1021.4,1021.6,7,6,21.1,23.9,No,NA
2014-01-27,CoffsHarbour,17.6,25.4,NA,NA,NA,ESE,30,WSW,ESE,13,11,74,57,1023.3,1022.8,3,6,20.6,24.4,NA,NA
2014-01-28,CoffsHarbour,18.7,27.4,NA,NA,NA,ENE,35,W,E,9,22,84,56,1021.9,1020.4,6,NA,21.3,26.1,NA,NA
2014-05-06,CoffsHarbour,5.5,20.7,0,NA,NA,NA,NA,NA,NA,NA,NA,61,51,NA,NA,NA,NA,14.5,19.6,No,NA
2014-05-07,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-08,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-09,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-10,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-11,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-05-12,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,NA,NA,NA,NA,NA,21.8,NA,NA
2014-09-16,CoffsHarbour,12.1,25.5,0,NA,NA,NA,NA,NA,NA,NA,NA,69,60,NA,NA,NA,NA,20.4,24.1,No,NA
2014-12-05,CoffsHarbour,19.4,29.8,19.2,NA,NA,NA,NA,NA,NA,NA,NA,77,79,NA,NA,NA,NA,22.5,23.7,Yes,NA
2014-12-06,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-07,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-08,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,NA,NA,NA,NA,NA,26.8,NA,NA
2014-12-09,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,25.3,NA,NA
2014-12-20,CoffsHarbour,19.7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,22.5,NA,No,NA
2014-12-21,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-22,CoffsHarbour,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014-12-23,CoffsHarbour,NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,61,NA,NA,NA,NA,26.2,25.1,NA,NA
2014-12-31,CoffsHarbour,21.7,27.6,0,NA,NA,NA,NA,NA,NA,NA,NA,74,86,NA,NA,NA,NA,26.5,24.3,No,NA
2015-01-01,CoffsHarbour,22.9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,76,NA,NA,NA,NA,26.1,27.9,NA,NA
2015-01-02,CoffsHarbour,22.7,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,70,NA,NA,NA,NA,27.7,27.4,NA,NA
2015-01-03,CoffsHarbour,22.1,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,78,73,NA,NA,NA,NA,25.8,27.5,NA,NA
2015-01-04,CoffsHarbour,22.4,28.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,66,NA,NA,NA,NA,25.9,27,NA,NA
2015-01-05,CoffsHarbour,18.9,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,69,NA,NA,NA,NA,24.3,25.3,NA,NA
2015-01-06,CoffsHarbour,19.1,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,75,NA,NA,NA,NA,25.5,26.6,NA,NA
2015-01-07,CoffsHarbour,18.7,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,63,NA,NA,NA,NA,24,26.1,NA,NA
2015-01-08,CoffsHarbour,17.8,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,70,66,NA,NA,NA,NA,24.8,27.1,NA,NA
2015-01-09,CoffsHarbour,21.1,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,63,66,NA,NA,NA,NA,25.9,27.2,NA,NA
2015-01-10,CoffsHarbour,23.4,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,63,NA,NA,NA,NA,26.6,27.4,NA,NA
2015-01-11,CoffsHarbour,24.1,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,83,NA,NA,NA,NA,25.5,26.2,NA,NA
2015-01-12,CoffsHarbour,21.1,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,88,81,NA,NA,NA,NA,22.8,24.2,NA,NA
2015-01-13,CoffsHarbour,19.6,27.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,78,NA,NA,NA,NA,24,26.3,NA,NA
2015-01-14,CoffsHarbour,23.5,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,71,NA,NA,NA,NA,25.7,28,NA,NA
2015-01-15,CoffsHarbour,22.5,29.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,57,57,NA,NA,NA,NA,28.4,28.2,NA,NA
2015-01-16,CoffsHarbour,18.5,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,69,69,NA,NA,NA,NA,24.9,28.1,NA,NA
2015-01-17,CoffsHarbour,20.2,30.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,50,NA,NA,NA,NA,26.1,29.4,NA,NA
